舟山堂诗词稿目录　(1979.4─2020.8)
------------------------------------------------------------
(2) 五律•春游鳝溪　二首　　　　　　　　1979．⒋
(2) 五律•秋游青芝寺　二首　　　　　　　1979．⒐
(2) 五律•西湖　二首　　　　　　　　　　1980．⒏
(1) 忆江南•榕城春　　　　　　　　　　　1982．⒐
(1) 采桑子•湖趣　　　　　　　　　　　　1982．⒐
(1) 渔家傲•夜雨泊江　　　　　　　　　　1982．⒐
(1) 六洲歌头•夕阳西下　　　　　　　　　1982．⒐
(3) 七言•江南感赋　春思　闽浪残昏　　　1982．⒑
(1) 水仙子•除夕　　　　　　　　　　　　1983．⒉
(1) 菩萨蛮•元夕　　　　　　　　　　　　1983．⒉
(1) 调笑令•踏青　　　　　　　　　　　　1983．⒋
(1) 少年游•寄友　　　　　　　　　　　　1983．⒌
(1) 满江红•清明　　　　　　　　　　　　1983．⒌
(1) 青玉案•除夕　　　　　　　　　　　　1984．⒉
(1) 渔歌子•大连风情小记　　　　　　　　1984．⒏
(1) 巫山一段雲•雲中飞行　　　　　　　　1984．⒏
(1) 望海潮•旅顺口怀古　　　　　　　　　1984．⒏
(1) 拜星月慢•雨後黄昏，游大连星海公园　1984．⒏
(1) 忆秦娥•清明　　　　　　　　　　　　1985．⒈
(2) 七言•清明诗钞题後　二首　　　　　　1985．⒈
(1) 七言•寄书友人题後　　　　　　　　　1985．⒈
(1) 人月圆•十五　　　　　　　　　　　　1985．⒉
(3) 七言•黄山题咏　三首　　　　　　　　1985．⒏
(1) 七言•黄山抒怀　　　　　　　　　　　1985．⒏
(1) 五律•秋怀　　　　　　　　　　　　　1986．⒑
(1) 五律•山中感赋　　　　　　　　　　　1986．⒑
(2) 散曲•风雲健　二首　　　　　　　　　1986．⒒
(1) 五律•新春试笔　　　　　　　　　　　1987．⒉
(1) 五律•夏日龙门涧道中　　　　　　　　1987．⒏
(1) 五律•夜雨邀同窗龚学士戏作　　　　　1988．⒍
(1) 散曲•寒夜别　　　　　　　　　　　　1989．⒈
(1) 新韵文诗•雪　　　　　　　　　　　　1989．⒓
(1) 五律•壬申新年赋笔　　　　　　　　　1992．⒉
(1) 五律•榕城留句　　　　　　　　　　　1993．⒊
(1) 五律•夜曲　　　　　　　　　　　　　1993．⒊
(1) 临江仙•惜春　　　　　　　　　　　　1994．⒊
(2) 五律•秋夜　二首　　　　　　　　　　1994．⒑
(2) 五律•离情　二首　　　　　　　　　　1994．⒒
(3) 五律•集字　三首　　　　　　　　　　1994．⒓
(1) 五律•美人　　　　　　　　　　　　　1995．⒈
(6) 五律•留香集　六首　　　　　　　　　1995．⒉
(1) 五律•無题　　　　　　　　　　　　　1995．⒉
(1) 五律•相思　　　　　　　　　　　　　1995．⒉
(2) 五律•客思　二首　　　　　　　　　　1995．⒉
(1) 虞美人•伤春景　　　　　　　　　　　1995．⒊
(1) 五律•画帘　　　　　　　　　　　　　1995．⒐
(1) 五律•春意　　　　　　　　　　　　　1995．⒑
(2) 五律•秋风　二首　　　　　　　　　　1995．⒒
(1) 虞美人•诉春情　　　　　　　　　　　1995．⒒
(2) 临江仙•春风　二首　　　　　　　　　1995．⒒
(3) 五律•春册集句　三首　　　　　　　　1995．⒒
(1) 五律•红楼集句　　　　　　　　　　　1995．⒒
(2) 五律•西厢　二首　　　　　　　　　　1995．⒒
(5) 五律•孤夜　五首　　　　　　　　　　1995．⒒
(1) 临江仙•感赋　　　　　　　　　　　　1996．⒊
(1) 五律•送别　　　　　　　　　　　　　1996．⒋
(1) 满江红•致周琳　　　　　　　　　　　1997．⒊
(1) 水调歌头•中秋　　　　　　　　　　　1998．⒐
(1) 金缕曲•中秋寄格格　　　　　　　　　1999．⒐
(1) 金缕曲•中秋书怀　　　　　　　　　　1999．⒐
(1) 新韵文诗•你和雨　　　　　　　　　　2002．⒊
(1) 五律•今夜　　　　　　　　　　　　　2003．⒋
(1) 五律•夏威夷　　　　　　　　　　　　2003．⒌
(2) 五律•二月登高　　　　　　　　　　　2006．⒉
(*) 对联•同学盛会　　　　　　　　　　　2006．⒉
(1) 水調歌頭•會東　　　　　　　　　　　2006．⒊
(1) 临江仙•再韻會東　　　　　　　　　　2006．⒊
(1) 五律•春日午後　　　　　　　　　　　2006．⒍
(1) 七言•记梦　　　　　　　　　　　　　2006．⒓
(1) 五律•风雨　　　　　　　　　　　　　2007．⒌
(1) 七律•流言　　　　　　　　　　　　　2007．⒌
(1) 七言•讽言　　　　　　　　　　　　　2007．⒌
(1) 七律•致贺　　　　　　　　　　　　　2007．⒍
(1) 蝶戀花•腊雪贺辰致琳儿　　　　　　　2008．⒈
(2) 七律•中秋二首　　　　　　　　　　　2008．⒐
(1) 七律•加勒比游记　　　　　　　　　　2008．⒓
(1) 七律•雪花　　　　　　　　　　　　　2008．⒓
(1) 五律•臘九賀辰　　　　　　　　　　　2009．⒈
(1) 七言•串烧网络流行语　　　　　　　　2009．⒈
(1) 七言•咏时事　　　　　　　　　　　　2009．⒈
(2) 七律•己丑中秋同韻二首　　　　　　　2009．⒐
(1) 七言•柏梁體秋韻　　　　　　　　　　2009．⒐
(2) 五律•冬月遠行二首　　　　　　　　　2009．⒓
(1) 七言•雨中思　　　　　　　　　　　　2010．⒈
(2) 虞美人•想念二章（冬雲、冬雨）　　　2010．⒈
18) 天净沙•今韵斐济十题　　　　　　　　2010．⒉
(2) 望海潮•斐济珊瑚海岸　　　　　　　　2010．⒉
(1) 英文诗•告别斐济　　　　　　　　　　2010．⒉
(2) 山坡羊•西北偏北国家公园二首　　　　2010．⒏
(2) 水调歌头•中秋　　　　　　　　　　　2010．⒐
(1) 英文诗•秋色雷德蒙　　　　　　　　　2010．⒑
(1) 七言•梦中梦　　　　　　　　　　　　2010．⒑
(2) 七律•寒雨二首　　　　　　　　　　　2011．⒈
(1) 新韵文诗•晨跑　　　　　　　　　　　2011．⒈
(1) 沁園春•重懷周公和毛詞原韻　　　　　2011．⒈
(1) 五律•夜寻　　　　　　　　　　　　　2011．⒉
(1) 七律•反思（普韻）　　　　　　　　　2011．⒉
(1) 七律•題四川豆花莊　　　　　　　　　2011．⒉
(1) 五言•梦醒　　　　　　　　　　　　　2011．⒍
(1) 行香子•中秋　　　　　　　　　　　　2011．⒐
(6) 行香子•加州行六首　　　　　　　　　2011．⒐
(1) 行香子•蘇克杉山　　　　　　　　　　2011．⒑
(3) 七律•看山三首　　　　　　　　　　　2012．⒍
(4) 七律•秋興四首　　　　　　　　　　　2012．⒑
(1) 七律•病中　　　　　　　　　　　　　2013．⒒
(1) 行香子•火燒天宮　　　　　　　　　　2014．⒉
